Date	            Water Level	                 Soiloisture
June 13th 2019, 7:12:05 p	0	1665
June 13th 2019, 7:14:05 p	0.04	1555
June 13th 2019, 7:15:05 p	0.01	1566
June 13th 2019, 7:16:05 p		1587
June 13th 2019, 7:19:05 p	0	1558
June 13th 2019, 7:21:05 p	0.01	1607
June 13th 2019, 7:27:05 p	0.01	1568
June 13th 2019, 7:29:04 p	0.02	1576
June 13th 2019, 7:32:05 p	0.01	1519
June 13th 2019, 7:33:06 p	0.03	1602
June 13th 2019, 7:35:05 p	0.02	1574
June 13th 2019, 7:36:05 p	0.03	1561
June 13th 2019, 7:37:05 p	0.02	1579
June 13th 2019, 7:38:05 p	0.02	1501
June 13th 2019, 7:39:06 p	0.02	1573
June 13th 2019, 7:40:05 p	0	1582
June 13th 2019, 7:41:05 p	0.02	1575
June 13th 2019, 7:42:06 p	0.02	1595
June 13th 2019, 7:43:05 p	0.03	1568
June 13th 2019, 7:44:06 p	0.02	1587
June 13th 2019, 7:45:05 p	0.02	1602
June 13th 2019, 7:46:05 p	0.02	1563
June 13th 2019, 7:49:05 p	0.03	1578
June 13th 2019, 7:52:05 p	0.02	1564
June 13th 2019, 7:54:06 p	0.01	1548
June 13th 2019, 7:55:05 p	0.02	1611
June 13th 2019, 7:59:05 p	0.01	1575
June 13th 2019, 8:02:06 p	0	1575
June 13th 2019, 8:03:05 p	0.02	1564
June 13th 2019, 8:06:05 p	0.01	1640
June 13th 2019, 8:07:05 p	0	1597
June 13th 2019, 8:08:06 p	0.03	1599
June 13th 2019, 8:09:05 p	0.02	1593
June 13th 2019, 8:10:05 p	0.02	1588
June 13th 2019, 8:11:05 p	0.02	1466
June 13th 2019, 8:13:05 p	0.02	1653
June 13th 2019, 8:15:05 p	0.03	1578
June 13th 2019, 8:17:05 p	0.01	1549
June 13th 2019, 8:19:05 p	0.02	1562
June 13th 2019, 8:20:05 p	0.03	1640
June 13th 2019, 8:21:05 p	0.03	1613
June 13th 2019, 8:22:05 p	0.01	1481
June 13th 2019, 8:23:05 p	0.03	1552
June 13th 2019, 8:24:05 p	0.03	1555
June 13th 2019, 8:25:05 p	0.03	1573
June 13th 2019, 8:26:05 p	0.01	1577
June 13th 2019, 8:27:06 p	0.01	1594
June 13th 2019, 8:28:05 p	0.01	1597
June 13th 2019, 8:29:05 p	0.01	1594
June 13th 2019, 8:31:05 p	0	1589
June 13th 2019, 8:32:06 p	0.01	1561
June 13th 2019, 8:33:05 p	0.01	1566
June 13th 2019, 8:37:05 p	0.02	1549
June 13th 2019, 8:39:05 p	0.01	1559
June 13th 2019, 8:40:05 p	0.01	1586
June 13th 2019, 8:42:05 p	0	1640
June 13th 2019, 8:44:05 p	0.02	1587
June 13th 2019, 8:46:05 p	0.03	1584
June 13th 2019, 8:48:06 p	0.02	1716
June 13th 2019, 8:50:05 p	0.03	1579
June 13th 2019, 8:51:06 p	0.02	1586
June 13th 2019, 8:52:05 p	0.02	1570
June 13th 2019, 8:53:05 p	0.01	1690
June 13th 2019, 8:57:05 p	0.02	1594
June 13th 2019, 8:58:05 p	0.03	1575
June 13th 2019, 8:59:05 p	0.01	1543
June 13th 2019, 9:00:06 p	0.01	1592
June 13th 2019, 9:03:05 p	0.01	1592
June 13th 2019, 9:04:05 p	0.1	1581
June 13th 2019, 9:05:06 p	0.1	1582
June 13th 2019, 9:07:05 p	0.1	1586
June 13th 2019, 9:08:06 p		1582
June 13th 2019, 9:09:05 p	0.03	1572
June 13th 2019, 9:10:05 p	0.1	1608
June 13th 2019, 9:12:05 p	0.01	1670
June 13th 2019, 9:13:05 p	0.03	1585
June 13th 2019, 9:14:05 p	0.02	1577
June 13th 2019, 9:15:05 p	0.09	1579
June 13th 2019, 9:16:06 p	0.1	1610
June 13th 2019, 9:18:05 p	0.02	1566
June 13th 2019, 9:21:06 p	0.03	1535
June 13th 2019, 9:22:05 p	0.03	1549
June 13th 2019, 9:23:05 p	0.03	1580
June 13th 2019, 9:24:05 p	0.03	1600
June 13th 2019, 9:25:05 p	0.03	1568
June 13th 2019, 9:26:05 p	0.03	1578
June 13th 2019, 9:27:05 p	0.01	1634
June 13th 2019, 9:28:06 p	0.03	1590
June 13th 2019, 9:29:06 p	0.02	1592
June 13th 2019, 9:30:05 p	0.03	1553
June 13th 2019, 9:31:05 p	0.02	1567
June 13th 2019, 9:35:05 p	0	1653
June 13th 2019, 9:36:05 p	0.02	1552
June 13th 2019, 9:40:06 p	0.01	1543
June 13th 2019, 9:41:05 p	0.02	1579
June 13th 2019, 9:44:05 p	0.01	1586
June 13th 2019, 9:45:06 p	0.03	1583
June 13th 2019, 9:46:05 p	0.03	1580
June 13th 2019, 9:47:05 p	0.01	1587
June 13th 2019, 9:48:06 p	0.02	1567
June 13th 2019, 9:49:05 p	0.03	1557
June 13th 2019, 9:51:05 p	0.03	1574
June 13th 2019, 9:52:05 p	0.1	1624
June 13th 2019, 9:53:06 p	0.01	1608
June 13th 2019, 9:54:05 p	0.01	1580
June 13th 2019, 9:55:05 p	0.09	1578
June 13th 2019, 9:56:05 p	0.02	1585
June 13th 2019, 9:57:05 p	0.01	1582
